ymdhm,swl,inf,sfw,ecpc,tototf,tide_level,wl_1018662,fw_1018662,wl_1018680,fw_1018680,wl_1018683,fw_1018683,wl_1019630,fw_1019630
2015-05-01 00:00,25.19,47.0,232.86,11.14,147.0,124.0,284.70000000000005,302.53,268.2,,268.0,227.02,265.3,427.69
2015-05-01 00:10,25.199,151.2,233.19,10.81,151.2,132.0,284.70000000000005,302.53,268.2,,268.0,267.56,265.3,427.69
2015-05-01 00:20,25.199,151.1,233.19,10.81,151.1,140.0,285.70000000000005,308.24,268.2,,268.0,320.26,265.3,427.69
2015-05-01 00:30,25.19,51.2,232.86,11.14,151.2,150.0,286.7,314.01,268.2,,268.0,271.61,265.3,427.69
2015-05-01 00:40,25.19,51.2,232.86,11.14,151.2,164.0,286.7,314.01,268.2,,268.0,312.15,264.3,417.17
2015-05-01 00:50,25.179,-54.7,232.48,11.52,145.3,179.0,287.7,319.84,269.2,,268.0,356.74,264.3,417.17
2015-05-01 01:00,25.19,45.0,232.86,11.14,145.0,198.0,286.7,314.01,269.2,,268.0,344.58,264.3,417.17
2015-05-01 01:10,25.169,133.3,232.09,11.91,133.3,219.0,286.7,314.01,269.2,,268.0,352.69,264.3,417.17
2015-05-01 01:20,25.169,133.2,232.09,11.91,133.2,240.0,286.7,314.01,269.2,,268.0,348.63,264.3,417.17
2015-05-01 01:30,25.169,133.2,232.09,11.91,133.2,261.0,285.70000000000005,308.24,269.2,,268.0,328.36,264.3,417.17
2015-05-01 01:40,25.174,133.1,232.28,11.72,133.1,283.0,285.70000000000005,308.24,269.2,,268.0,332.42,264.3,417.17
2015-05-01 01:50,25.179,233.1,232.48,11.52,133.1,306.0,284.70000000000005,302.53,269.2,,268.0,279.72,264.3,417.17
2015-05-01 02:00,25.18,27.0,232.5,11.5,127.0,329.0,284.70000000000005,302.53,269.2,,268.0,267.56,264.3,417.17
2015-05-01 02:10,25.19,232.9,232.86,11.14,132.9,351.0,284.70000000000005,302.53,268.2,,268.0,255.39,264.3,417.17
2015-05-01 02:20,25.19,232.9,232.86,11.14,132.9,374.0,284.70000000000005,302.53,268.2,,268.0,251.34,264.3,417.17
2015-05-01 02:30,25.19,232.9,232.86,11.14,132.9,394.0,283.70000000000005,296.87,268.2,,268.0,210.8,264.3,417.17
2015-05-01 02:40,25.19,232.8,232.86,11.14,132.8,415.0,282.7,291.27,268.2,,268.0,154.05,264.3,417.17
