ymdhm,wl_1018662,wl_1018680,wl_1018683,wl_1019630
2022-06-01 00:00,279.5408,267.4573,268.5617,268.44962
2022-06-01 00:10,281.43857,267.6825,268.0143,267.25433
2022-06-01 00:20,283.67715,267.77423,267.2432,265.4327
2022-06-01 00:30,285.4093,268.00217,266.82297,262.62445
2022-06-01 00:40,285.76505,268.259,266.68167,260.46854
2022-06-01 00:50,284.8593,268.08426,266.4483,259.2432
2022-06-01 01:00,283.72873,267.74777,266.16183,258.64923
2022-06-01 01:10,282.5225,267.0588,265.74356,258.68564
2022-06-01 01:20,280.78854,265.98572,265.11777,258.9444
2022-06-01 01:30,279.12442,265.11996,264.72012,260.0296
2022-06-01 01:40,277.80872,264.48184,264.35983,260.22467
2022-06-01 01:50,276.66675,263.89993,264.0285,261.6643
2022-06-01 02:00,275.79147,263.32526,263.5407,262.55603
2022-06-01 02:10,275.1362,262.8672,263.07224,262.39212
2022-06-01 02:20,274.84592,262.74625,262.90463,262.30286
2022-06-01 02:30,275.03775,262.88046,262.86353,262.05444
2022-06-01 02:40,275.73782,263.36673,263.0505,261.45557
2022-06-01 02:50,276.35587,263.6561,262.90457,260.71838
2022-06-01 03:00,276.81558,263.57242,262.57758,259.75543
2022-06-01 03:10,277.532,263.8259,262.61044,259.00354
2022-06-01 03:20,277.89316,263.8453,262.438,258.10745
2022-06-01 03:30,278.0297,263.75604,262.19354,256.48538
2022-06-01 03:40,277.71036,263.55783,261.97644,255.84192
2022-06-01 03:50,277.1935,263.22586,261.54874,255.31508
2022-06-01 04:00,276.60245,262.92947,261.1199,255.34184
2022-06-01 04:10,275.8517,262.57202,260.6027,255.29164
2022-06-01 04:20,278.4891,263.86496,261.54056,252.86261
2022-06-01 04:30,278.20016,262.7315,260.99994,254.14555
2022-06-01 04:40,275.89664,261.04382,260.2263,257.57156
2022-06-01 04:50,275.90225,260.58725,259.9364,256.30103
2022-06-01 05:00,275.03775,260.05228,259.9351,257.40427
2022-06-01 05:10,274.14963,259.69058,260.08276,258.0867
2022-06-01 05:20,273.20486,259.5032,260.3445,257.79742
2022-06-01 05:30,272.45724,259.10626,260.03665,257.1511
2022-06-01 05:40,273.16037,259.34897,260.02872,255.89122
2022-06-01 05:50,273.97617,259.54922,259.88788,254.71317
2022-06-01 06:00,274.3471,259.46634,259.58347,254.00764
2022-06-01 06:10,274.1394,259.0831,259.13742,253.58678
2022-06-01 06:20,273.63382,258.67224,258.76233,253.14964
2022-06-01 06:30,273.159,258.3868,258.56064,253.42882
2022-06-01 06:40,272.66232,258.0578,258.24985,253.26407
2022-06-01 06:50,272.6393,258.6856,259.06702,255.0313
2022-06-01 07:00,272.90695,258.9491,259.17557,253.78699
2022-06-01 07:10,272.57285,258.50735,258.71228,252.98546
2022-06-01 07:20,272.14514,257.7921,258.1714,252.88225
2022-06-01 07:30,271.93826,257.57687,258.14136,253.65352
2022-06-01 07:40,271.8771,257.6903,258.1768,254.77425
2022-06-01 07:50,271.76947,257.63058,257.90698,255.97197
2022-06-01 08:00,271.42184,257.73746,257.7098,259.73608
2022-06-01 08:10,272.43588,259.5445,259.2123,272.56662
2022-06-01 08:20,272.604,259.8768,260.21683,283.39594
